video_id,url,title,channel,status,source,chars
Iscwah5kSTM,https://www.youtube.com/watch?v=Iscwah5kSTM,[See Description] Trading Logic with Sentiment Analysis Signals - Python for Finance 10,sentdex,ok,ytdlp,13525
nTWQN5SVqgE,https://www.youtube.com/watch?v=nTWQN5SVqgE,Scikit Learn Machine Learning Tutorial for investing with Python p. 26,sentdex,ok,ytdlp,9288
s-a-Jk4jrbk,https://www.youtube.com/watch?v=s-a-Jk4jrbk,Scikit Learn Machine Learning Tutorial for investing with Python p. 25,sentdex,ok,ytdlp,5248
yyirhTQImVQ,https://www.youtube.com/watch?v=yyirhTQImVQ,Scikit Learn Machine Learning Tutorial for investing with Python p. 24,sentdex,ok,ytdlp,5611
es4byKyA8x4,https://www.youtube.com/watch?v=es4byKyA8x4,Scikit Learn Machine Learning Tutorial for investing with Python p. 23,sentdex,ok,ytdlp,11186
5igqQ5V--tE,https://www.youtube.com/watch?v=5igqQ5V--tE,Scikit Learn Machine Learning Tutorial for investing with Python p. 22,sentdex,ok,ytdlp,9211
ocgvXbv2iHs,https://www.youtube.com/watch?v=ocgvXbv2iHs,Scikit Learn Machine Learning Tutorial for investing with Python p. 21,sentdex,ok,ytdlp,10805
2CxQsBzigKY,https://www.youtube.com/watch?v=2CxQsBzigKY,Scikit Learn Machine Learning Tutorial for investing with Python p. 20,sentdex,ok,ytdlp,18900
1dk9NO2M41E,https://www.youtube.com/watch?v=1dk9NO2M41E,Scikit Learn Machine Learning Tutorial for investing with Python p. 19,sentdex,ok,ytdlp,10942
l68b0d92AHQ,https://www.youtube.com/watch?v=l68b0d92AHQ,Scikit Learn Machine Learning Tutorial for investing with Python p. 18,sentdex,ok,ytdlp,22777
oRwPwTbrNuk,https://www.youtube.com/watch?v=oRwPwTbrNuk,Scikit Learn Machine Learning Tutorial for investing with Python p. 17,sentdex,ok,ytdlp,8443
zZs2UE-yEMo,https://www.youtube.com/watch?v=zZs2UE-yEMo,Scikit Learn Machine Learning Tutorial for investing with Python p. 16,sentdex,ok,ytdlp,13882
qc0MHtfHCVE,https://www.youtube.com/watch?v=qc0MHtfHCVE,Scikit Learn Machine Learning Tutorial for investing with Python p. 15,sentdex,ok,ytdlp,8993
omPyA21PYjE,https://www.youtube.com/watch?v=omPyA21PYjE,Scikit Learn Machine Learning Tutorial for investing with Python p. 14,sentdex,ok,ytdlp,17842
